id,player,session,level,action,time,timestamp,"replace(state,char(13),' ')"
83099,193167357,671434C641943B601AA0E08923BA1847,N3D_0,0,111.814056,"2020-11-22 19:59:09.755140","Solucion: 11 // Consola_2"
83100,193167357,671434C641943B601AA0E08923BA1847,N3D_0,0,187.987854,"2020-11-22 20:00:26.186787","Solucion: 115 // Consola_2"
83101,193167357,671434C641943B601AA0E08923BA1847,N3D_0,0,189.509995,"2020-11-22 20:00:27.418251","Solucion: 115 // Consola_2"
83102,128643036,A7D16E414E9E5084763DC6A156BC1F9E,Densidad_de_Objetos,0,0,"2020-11-24 13:15:31.132553","Inicio del nivel;Player 1: Pablo1; Player2: Pablo2"
83103,191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,0,0,"2020-11-24 14:05:59.958771","Inicio del nivel;Player 1: pedro; Player2: nato"
83104,191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,17,"2020-11-24 14:12:07.495557","rocaOro_Sprite; 50; Boton volAcero; Player 0"
83105,191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,35,"2020-11-24 14:14:22.897135","rocaAcero_Sprite; 70; Boton volOro; Player 0"
83106,191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,49,"2020-11-24 14:16:03.043172","roca_Sprite; 30; Boton volPiedra; Player 0"
83107,191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,57,"2020-11-24 14:16:58.401783","rocaDiamante_Sprite; 100; Boton volDiamante; Player 0"
83108,197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,0,0,"2020-11-24 14:19:56.693493","Inicio del nivel;Player 1: Claudio; Player2: Martina"
83109,191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,90,"2020-11-24 14:20:56.782134","rocaOro_Sprite; 50; Boton volOro; Player 0"
83110,197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,227,"2020-11-24 14:25:24.531956","rocaAcero_Sprite; 70; Boton volAcero; Player 0"
83111,191147499,553D85514F6C18164F2854A6D1A9C4EB,Densidad_de_Objetos,1,134,"2020-11-24 14:26:10.448480","rocaAcero_Sprite; 70; Boton volPiedra; Player 0"
83112,197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,277,"2020-11-24 14:26:14.696898","rocaOro_Sprite; 50; Boton volOro; Player 0"
83113,197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,322,"2020-11-24 14:26:58.979894","rocaDiamante_Sprite; 100; Boton volDiamante; Player 0"
83114,197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,1,339,"2020-11-24 14:27:16.639237","roca_Sprite; 30; Boton volPiedra; Player 0"
83115,197299339,438DC9D14338F573DC26468409B2CE90,Densidad_de_Objetos,3,342,"2020-11-24 14:27:19.103099","Final del nivel"
